12:02 AM	25995_	10	6	4	11	4	14	2	3	4	14
12:12 AM	25996_	7	12	1	12	8	1	11	3	10	5
12:21 AM	25997_	7	8	11	5	12	12	13	10	14	10
12:31 AM	25998_	10	14	4	0	13	4	9	3	10	11
12:40 AM	25999_	9	0	14	3	2	13	11	9	2	14
12:49 AM	26000_	14	3	5	7	1	11	0	9	2	7
12:59 AM	26001_	8	0	8	0	4	1	8	3	11	13
01:08 AM	26002_	6	5	8	5	2	1	13	13	10	2
01:18 AM	26003_	4	12	1	13	11	12	1	2	14	7
01:27 AM	26004_	2	8	7	7	9	2	8	4	13	2
01:36 AM	26005_	10	8	6	2	7	13	10	4	7	11
01:46 AM	26006_	14	4	13	5	13	9	2	2	1	5
01:55 AM	26007_	8	3	3	0	6	14	3	14	11	14
02:05 AM	26008_	3	13	13	10	1	13	9	14	11	8
02:14 AM	26009_	13	11	6	12	7	9	9	4	6	14
02:24 AM	26010_	8	7	5	14	12	13	12	10	10	14
02:33 AM	26011_	3	7	1	0	1	7	6	0	9	12
02:43 AM	26012_	7	5	10	9	7	2	1	13	4	12
02:52 AM	26013_	11	5	12	10	3	12	7	4	8	12
03:02 AM	26014_	7	14	11	13	5	5	2	7	6	7
03:11 AM	26015_	8	9	12	13	3	5	3	7	9	12
03:21 AM	26016_	13	6	0	4	6	1	8	11	10	2
03:31 AM	26017_	13	11	9	1	1	7	12	0	8	0
03:43 AM	26018_	10	10	7	13	14	6	12	1	11	9
03:53 AM	26019_	0	4	5	13	5	9	6	14	9	3
04:02 AM	26020_	5	6	5	10	13	7	2	8	2	14
04:12 AM	26021_	2	2	8	4	14	2	12	14	13	8
04:23 AM	26022_	3	0	12	10	2	12	5	13	6	12
04:33 AM	26023_	10	13	7	7	2	11	10	9	9	3
04:43 AM	26024_	9	8	1	5	5	12	1	9	13	7
04:53 AM	26025_	3	3	0	11	12	4	3	7	13	14
05:03 AM	26026_	14	14	13	3	10	7	5	6	8	1
05:13 AM	26027_	2	6	6	2	5	11	14	4	8	1
05:23 AM	26028_	9	0	11	12	9	7	11	0	6	14
05:34 AM	26029_	11	13	10	9	12	9	5	11	14	13
05:44 AM	26030_	13	14	12	9	4	2	6	10	3	7
05:55 AM	26031_	10	3	11	6	5	3	7	2	1	10
06:06 AM	26032_	3	6	8	5	8	5	11	12	10	10
06:16 AM	26033_	8	10	10	9	4	12	0	9	6	5
06:26 AM	26034_	3	5	10	2	5	6	14	12	12	14
06:37 AM	26035_	13	5	3	0	4	8	8	8	12	2
06:47 AM	26036_	0	3	2	12	7	0	2	4	11	13
06:58 AM	26037_	10	13	1	8	2	0	8	6	0	12
07:09 AM	26038_	1	5	5	13	6	1	2	7	4	12
